RUTU	year	Nsegment	NWD	time	AT	windS	TS	FEDR	nGulls	tending	nOM	nOtherP	dog	raptor	plane	activities	day	NWD	Bulk	Dune	Phrag	Marsh	Creek	Woodland	FT	LT	RT	DC1	DC2	DC3	DC4	DC5	DC6	DC7	DC8
7	2016	120	3	0.6879248740797835	-0.7656550103012307	-0.5038308413356013	-0.11641870656590743	0.4165143981697099	0.03792052401317529	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	-0.734283528950729	-0.6072306199268505	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1
0	2016	121	3	0.763272978560764	-0.7656550103012307	-0.5038308413356013	-0.129080216763234	0.04341605777873379	-0.023251570434689457	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	-0.734283528950729	-0.6072306199268505	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	1
3	2016	122	3	0.7649473808825636	-0.7656550103012307	-0.5038308413356013	-0.12654791472376867	0.4165143981697099	0.017529825863887044	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	-0.734283528950729	-0.6072306199268505	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1
0	2016	123	3	0.7699705878479624	-0.7656550103012307	-0.5038308413356013	-0.05817575965820522	0.04341605777873379	-0.14559575933041896	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	-0.734283528950729	-0.6072306199268505	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1
0	2016	124	3	0.774993794813361	-0.7656550103012307	-0.5038308413356013	-0.129080216763234	0.04341605777873379	-0.18637715562899546	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	-0.734283528950729	-0.6072306199268505	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1
0	2016	125	3	0.7800170017787597	-0.7656550103012307	-0.5038308413356013	-0.13667712288162992	0.04341605777873379	-0.0844236648825542	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	2.2794554259001973	-0.0550415644794185	1.1732940391397961	-0.734283528950729	-0.6072306199268505	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1
0	2016	126	1	0.7833658064223589	-0.875083889316111	-0.35321059813187705	-0.13667712288162992	0.04341605777873379	0.1602647129089048	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	2.2794554259001973	-0.0550415644794185	1.1732940391397961	-0.734283528950729	-0.7705957387006923	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1
0	2016	127	1	0.7833658064223589	-0.875083889316111	-0.35321059813187705	-0.13667712288162992	0.04341605777873379	0.1602647129089048	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	2.2794554259001973	-0.0550415644794185	1.1732940391397961	-0.734283528950729	-0.7705957387006923	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1
0	2016	128	1	0.7833658064223589	-0.875083889316111	-0.35321059813187705	-0.13667712288162992	0.04341605777873379	0.5680786758946699	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	-0.734283528950729	-0.7705957387006923	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1
0	2016	129	1	0.7833658064223589	-0.875083889316111	-0.35321059813187705	-0.13667712288162992	0.04341605777873379	0.5680786758946699	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	-0.734283528950729	-0.7705957387006923	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1
